"iteration","cores","time"
10,1,665.33065199852
10,16,415.098092556
10,2,552.813117027283
10,4,466.153473377228
10,8,385.846102952957
1,1,690.477255344391
1,16,378.357568025589
1,2,569.583238363266
1,4,435.284400463104
1,8,404.010087013245
2,1,682.805270195007
2,16,465.950175285339
2,2,606.751554965973
2,4,499.686484575272
2,8,447.04060125351
3,1,715.989325046539
3,16,425.438636302948
3,2,625.073841571808
3,4,505.107699632645
3,8,412.128987312317
4,1,682.902471542358
4,16,427.70960187912
4,2,643.082728385925
4,4,485.398721218109
4,8,386.465963363647
5,1,645.136537075043
5,16,384.075441837311
5,2,540.67321228981
5,4,466.318107128143
5,8,368.927067041397
6,1,660.963707685471
6,16,410.730700016022
6,2,593.696516990662
6,4,455.463287115097
6,8,367.30451130867
7,1,638.237175703049
7,16,380.577609777451
7,2,550.46448469162
7,4,486.687575817108
7,8,397.842640161514
8,1,624.922519922256
8,16,407.680931329727
8,2,558.547231912613
8,4,472.821382761002
8,8,367.230888605118
9,1,640.521920919418
9,16,399.93012547493
9,2,574.365629673004
9,4,486.114854574204
9,8,380.634903430939
